id,book,chapter,outline_title,kind,delivered_heading,chapter_page,complete_book_page,source_archive,source_member,source_sha256
3.1.1,3,3.1,Belastingen: wig en nieuw evenwicht,theory,3.1.1 · Belastingen: wig en nieuw evenwicht,2,6,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H1_Herzien_Bronpakket.zip,Boek_3_H1_Herzien_bronpakket/3.1.1 manuscript.md,513ed1117db27c8cc67961f4e8958cc8e74d4948f0dd663a7b36820776936cad
3.1.2,3,3.1,Belastingdruk en welvaartsverlies,theory,3.1.2 · Belastingdruk en welvaartsverlies,10,14,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H1_Herzien_Bronpakket.zip,Boek_3_H1_Herzien_bronpakket/3.1.2 manuscript.md,495d488b46b06ed704f6410363069863974edf065dac44922fec8a1e5dd630d1
3.1.3,3,3.1,Subsidies,theory,3.1.3 · Subsidies,19,23,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H1_Herzien_Bronpakket.zip,Boek_3_H1_Herzien_bronpakket/3.1.3 manuscript.md,a58c3d5c99ee137687249758d2cd2d519f1d9554fee65551fba2c19b55942980
3.1.4,3,3.1,Maximumprijs,theory,3.1.4 · Maximumprijs,28,32,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H1_Herzien_Bronpakket.zip,Boek_3_H1_Herzien_bronpakket/3.1.4 manuscript.md,4630d7723cd7eac418928c68189872e5c8d50e8761c57e95f2ae9cac8b502d28
3.1.5,3,3.1,Minimumprijs en quota,theory,3.1.5 · Minimumprijs en quota,35,39,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H1_Herzien_Bronpakket.zip,Boek_3_H1_Herzien_bronpakket/3.1.5 manuscript.md,ecb63b7a70c066bb0ac4d34ee6e48127a2d3c98b28efed165e17ea929361884c
3.1.6,3,3.1,Gemengde opgaven: overheidsingrijpen,gemengde_opgaven,3.1.6 · Gemengde opgaven,44,48,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H1_Herzien_Bronpakket.zip,Boek_3_H1_Herzien_bronpakket/3.1.6 manuscript.md,9746e6704b48e192b921460c0786cd830f954d634babf7b2c61e9327ee8112b0
3.2.1,3,3.2,Volkomen concurrentie: kenmerken,theory,3.2.1 · Volkomen concurrentie: kenmerken,2,54,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H2_Bronpakket.zip,Boek_3_H2_bronpakket/3.2.1 manuscript.md,c3ebc48f616c242761a2812aaf6ad0f6c29becca900ebdaf4071a69ea50e75e5
3.2.2,3,3.2,Winstmaximalisatie bij volkomen concurrentie,theory,3.2.2 · Winstmaximalisatie,10,62,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H2_Bronpakket.zip,Boek_3_H2_bronpakket/3.2.2 manuscript.md,1d9d8dc231a26e451298409bd9df5bb1c0581bb992e63e32cd47a4b4b61f35ce
3.2.3,3,3.2,Langetermijnevenwicht,theory,3.2.3 · Langetermijnevenwicht,22,74,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H2_Bronpakket.zip,Boek_3_H2_bronpakket/3.2.3 manuscript.md,1b302a1b34cff95baab90e460c4af6c7be5b9c63c94cf4f5b359d79da641a8a7
3.2.4,3,3.2,Gemengde opgaven: volkomen concurrentie,gemengde_opgaven,3.2.4 · Gemengde opgaven,31,83,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H2_Bronpakket.zip,Boek_3_H2_bronpakket/3.2.4 manuscript.md,ee4dbd6a77e75da6ecf99612ac6fe930f7417c7bc45c602148a87d396d4fd8e9
3.3.1,3,3.3,Waarom landen handelen: specialisatie en concurrentiepositie,theory,3.3.1 · Waarom landen handelen,2,92,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H3_Bronpakket.zip,Boek_3_H3_bronpakket/3.3.1 manuscript.md,625a3ecb3ccacdef7871df097976ea216af69424cb35f5a6eacc321564658b37
3.3.2,3,3.3,"Wereldmarktprijs, import, export en welvaart",theory,"3.3.2 · Wereldmarktprijs, import, export en welvaart",11,101,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H3_Bronpakket.zip,Boek_3_H3_bronpakket/3.3.2 manuscript.md,434f5040c1f30b405296ceba74f5ddbaa16b261469e63447bb1b49825cc68833
3.3.3,3,3.3,Protectionisme: invoerheffingen en importquota,theory,3.3.3 · Protectionisme: invoerheffingen en importquota,21,111,Boek_3_Compleet_Herzien_Bronpakket.zip!Boek_3_Compleet_Herzien_bronpakket/hoofdstuk-bronpakketten/Boek_3_H3_Bronpakket.zip,Boek_3_H3_bronpakket/3.3.3 manuscript.md,424d535ba34e140fb5c091c84e6f5175541049ab7cec70378099450f52b36af1
