id;structure_type;structure_label;problem_text;step_1_label;step_1_detail;step_1_formula;step_2_label;step_2_detail;step_2_formula;step_3_label;step_3_detail;step_3_formula;distractor_1_label;distractor_1_detail;distractor_1_formula;distractor_2_label;distractor_2_detail;distractor_2_formula;distractor_3_label;distractor_3_detail;distractor_3_formula;subq_1;subq_2;subq_3;subq_distractor_1;subq_distractor_2;error_step_index;error_wrong_label;error_wrong_detail;error_wrong_formula;flow_1_type;flow_1_text;flow_2_type;flow_2_text;flow_3_type;flow_3_text;flow_4_type;flow_4_text;flow_5_type;flow_5_text;flow_6_type;flow_6_text
1;A;"Situatie herkennen → Schaarste benoemen → Alternatieve kosten bepalen";"Lisa heeft op zaterdag €20 zakgeld. Ze wil naar de bioscoop (€12) én een boek kopen (€15). Beide past niet binnen haar budget. Ze kiest voor de bioscoop. Welke economische begrippen herken je en wat zijn haar alternatieve kosten?";"Herken de situatie";"Lisa's behoeften (bioscoop én boek, samen €27) zijn groter dan haar beschikbare middel (€20 zakgeld). Ze moet daarom een keuze maken.";;"Benoem de schaarste";"Er is sprake van schaarste: de behoeften zijn groter dan de beschikbare middelen. Het schaarse middel is het geld van Lisa.";;"Bepaal de alternatieve kosten";"Lisa kiest voor de bioscoop en geeft daarmee het boek op. De alternatieve kosten zijn de opbrengst van het beste niet-gekozen alternatief: het leesplezier van het boek van €15.";;"Tel alle wensen bij elkaar op";"Lisa wil €12 + €15 = €27 uitgeven, dus ze heeft €27 aan behoeften.";;"Bereken de prijs die Lisa betaalt";"Lisa betaalt €12 voor de bioscoop, dus dat is haar totale kostenpost.";;"Bepaal het verschil tussen budget en wens";"€20 − €15 = €5 tekort, dus Lisa komt €5 tekort op het boek.";;"Waarom moet Lisa kiezen tussen bioscoop en boek?";"Welk economisch begrip past bij 'behoeften groter dan middelen'?";"Wat zijn de alternatieve kosten van Lisa's keuze voor de bioscoop?";"Hoeveel zakgeld krijgt Lisa per week?";"Wat is de gemiddelde bioscoopprijs in Nederland?";2;"Benoem het als een tekort";"Omdat Lisa €7 te weinig heeft om alles te kopen, is er sprake van een geldtekort in haar portemonnee.";;cause;"Lisa heeft €20 zakgeld maar wil voor €27 aan dingen kopen";reasoning;"Behoeften (€27) zijn groter dan middelen (€20), dus er is schaarste";reasoning;"Schaarste dwingt Lisa tot een keuze tussen bioscoop en boek";effect;"Lisa kiest bioscoop en geeft het boek op";effect;"Alternatieve kosten = opbrengst van het beste niet-gekozen alternatief: het boek (€15)";;
2;A;"Situatie herkennen → Schaarste benoemen → Alternatieve kosten bepalen";"Eva heeft een vrije middag van 4 uur. Ze kan bijles geven (€40 verdienen), studeren (een beter cijfer ter waarde van €30) of een film kijken (ontspanning ter waarde van €15). Elke activiteit duurt 4 uur. Ze kiest voor bijles geven. Welke begrippen herken je en wat zijn haar alternatieve kosten?";"Herken de situatie";"Eva heeft drie wensen maar slechts 4 uur tijd. Alle drie de activiteiten vullen haar hele middag, dus ze kan er maar één doen.";;"Benoem de schaarste";"Er is sprake van schaarste: Eva's behoeften (drie activiteiten) zijn groter dan haar beschikbare middel (4 uur tijd). Tijd is het schaarse middel.";;"Bepaal de alternatieve kosten";"Eva kiest bijles en geeft zowel studeren (€30) als film (€15) op. De alternatieve kosten zijn de opbrengst van het beste niet-gekozen alternatief: studeren (€30), niet de som.";;"Tel de opbrengsten van alle alternatieven op";"€30 + €15 = €45, dus Eva's alternatieve kosten zijn €45.";;"Bereken het inkomen van Eva";"Eva verdient €40 met bijles, dus dat is haar totale opbrengst.";;"Bepaal hoeveel uur ze overhoudt";"Eva heeft 4 − 4 = 0 uur over na bijles geven.";;"Waarom kan Eva niet alle drie de activiteiten doen?";"Welk begrip past bij 'méér wensen dan beschikbare tijd'?";"Wat zijn Eva's alternatieve kosten als ze voor bijles kiest?";"Hoeveel uur studeert een gemiddelde VWO-leerling per week?";"Wat is het gebruikelijke uurtarief voor bijles in Nederland?";3;"Bepaal de alternatieve kosten als de som";"De alternatieve kosten zijn alles wat Eva opgeeft samen: studeren (€30) plus film (€15) = €45.";;cause;"Eva heeft 4 uur vrije tijd en drie activiteiten die elk 4 uur duren";reasoning;"Behoeften (drie activiteiten) zijn groter dan middelen (4 uur), dus schaarste";reasoning;"Eva kan maar één alternatief kiezen, ze kiest bijles (€40)";effect;"Niet-gekozen alternatieven: studeren (€30) en film (€15)";effect;"Alternatieve kosten = beste niet-gekozen alternatief = €30 (studeren), niet €45";;
3;A;"Situatie herkennen → Schaarste benoemen → Alternatieve kosten bepalen";"De gemeenteraad heeft €2 miljoen over. Ze willen een nieuwe sporthal bouwen (waarde voor burgers: €2 miljoen) of het onderwijsbudget ophogen (waarde: €1,8 miljoen). Beide kan niet. De raad kiest voor de sporthal. Welke economische begrippen herken je en wat zijn de alternatieve kosten?";"Herken de situatie";"De gemeente heeft één budget van €2 miljoen en twee wensen die beide het hele budget opslokken. Ze kunnen er maar één realiseren.";;"Benoem de schaarste";"Er is sprake van schaarste: de behoeften van de gemeente (sporthal én onderwijs) zijn groter dan de beschikbare middelen (budget). Het schaarse middel is het overheidsbudget.";;"Bepaal de alternatieve kosten";"De raad kiest de sporthal en geeft de onderwijsinvestering op. De alternatieve kosten zijn de opbrengst van het beste niet-gekozen alternatief: €1,8 miljoen aan onderwijswaarde.";;"Bepaal of de raad winst maakt";"Winst is opbrengst min kosten, maar de overheid is geen bedrijf dus er is geen winst.";;"Tel beide waardes op";"€2 miljoen + €1,8 miljoen = €3,8 miljoen aan totale behoeften.";;"Beoordeel of de sporthal te duur is";"Een sporthal voor €2 miljoen is een grote uitgave, dus dat is economisch onverstandig.";;"Waarom moet de gemeenteraad kiezen tussen sporthal en onderwijs?";"Welk begrip past bij 'behoeften van burgers groter dan overheidsbudget'?";"Wat zijn de alternatieve kosten van de keuze voor de sporthal?";"Hoeveel inwoners telt de gemeente?";"Wat is de jaarlijkse begroting van een gemiddelde gemeente?";2;"Benoem het als een geldtekort";"De gemeente heeft niet genoeg geld om beide plannen uit te voeren, dus er is een tekort op de begroting.";;cause;"Gemeente heeft €2 miljoen budget voor twee projecten van elk €2 miljoen / €1,8 miljoen";reasoning;"Behoeften overstijgen middelen, dus er is schaarste in het overheidsbudget";reasoning;"De raad moet kiezen en kiest voor de sporthal (€2 mln waarde)";effect;"Het onderwijsbudget van €1,8 miljoen wordt niet verhoogd";effect;"Alternatieve kosten = opbrengst beste niet-gekozen alternatief = €1,8 mln onderwijswaarde";;
4;A;"Situatie herkennen → Schaarste benoemen → Alternatieve kosten bepalen";"Tom heeft zaterdag 3 uur de tijd. Hij kan voetballen met vrienden (plezier ter waarde van €20) of werken in de supermarkt (€30 verdienen). Beide duren 3 uur. Hij kiest voor werken. Welke economische begrippen spelen hier en wat zijn de alternatieve kosten?";"Herken de situatie";"Tom heeft één middel (3 uur tijd) en twee wensen (voetballen én werken) die beide de volledige tijd vragen. Hij moet kiezen.";;"Benoem de schaarste";"Er is sprake van schaarste: Toms behoeften zijn groter dan zijn beschikbare middel (tijd). Tijd is het schaarse middel in deze situatie.";;"Bepaal de alternatieve kosten";"Tom kiest werken en geeft daarmee voetballen op. De alternatieve kosten zijn de opbrengst van het beste niet-gekozen alternatief: €20 aan voetbalplezier.";;"Bereken het netto-inkomen van Tom";"Tom verdient €30 en betaalt geen kosten, dus zijn netto-inkomen is €30.";;"Bepaal het verschil in waarde";"€30 − €20 = €10, dus Tom verdient €10 meer met werken.";;"Bereken het uurtarief";"Tom verdient €30 in 3 uur, dus €10 per uur.";;"Waarom moet Tom kiezen tussen voetbal en werken?";"Welk begrip past bij 'behoefte aan vrije tijd én geld, maar beperkte uren'?";"Wat zijn Toms alternatieve kosten als hij gaat werken?";"Wat verdient een kassamedewerker gemiddeld per uur?";"Hoeveel uur per week werkt een gemiddelde scholier?";3;"Bepaal alternatieve kosten als de prijs";"Toms alternatieve kosten zijn wat hij moet betalen om te werken, maar werken kost niets dus alternatieve kosten = €0.";;cause;"Tom heeft 3 uur tijd en twee activiteiten van elk 3 uur";reasoning;"Behoeften (voetbal + werk) groter dan middelen (3 uur), dus schaarste";reasoning;"Tom kiest werken (€30) en moet voetbal (€20) opgeven";effect;"Het beste niet-gekozen alternatief is voetbal met waarde €20";effect;"Alternatieve kosten = €20 aan gemist voetbalplezier";;
5;B;"Alternatieven opsommen → Opbrengst per alternatief berekenen → Beste niet-gekozen = alternatieve kosten";"Een boer heeft 10 hectare grond. Hij kan tarwe verbouwen (€500 winst per hectare), maïs (€350 per hectare) of zonnebloemen (€300 per hectare). Hij verbouwt al zijn land met tarwe. Wat zijn zijn alternatieve kosten?";"Som de alternatieven op";"De boer heeft drie alternatieven voor de besteding van zijn 10 hectare: tarwe, maïs of zonnebloemen.";;"Bereken de opbrengst per alternatief";"Tarwe: 10 × €500 = €5.000. Maïs: 10 × €350 = €3.500. Zonnebloemen: 10 × €300 = €3.000.";;"Bepaal de alternatieve kosten";"De boer kiest tarwe (€5.000). De niet-gekozen alternatieven zijn maïs (€3.500) en zonnebloemen (€3.000). De alternatieve kosten = opbrengst beste niet-gekozen alternatief = €3.500 (maïs).";;"Noteer alleen de gekozen optie";"De boer kiest tarwe, dus alleen tarwe is relevant voor de berekening.";;"Bereken het gemiddelde van de alternatieven";"(€5.000 + €3.500 + €3.000) / 3 = €3.833 gemiddelde opbrengst.";;"Tel de opbrengsten van alle gewassen op";"€5.000 + €3.500 + €3.000 = €11.500 totale marktwaarde van alle gewassen.";;"Welke drie alternatieven heeft de boer voor zijn 10 hectare?";"Wat is de totale opbrengst per alternatief bij 10 hectare?";"Wat zijn de alternatieve kosten van de keuze voor tarwe?";"Hoeveel kost een hectare grond in Nederland?";"Welk gewas wordt het meest verbouwd in Nederland?";3;"Bepaal alternatieve kosten als som van niet-gekozen";"Alternatieve kosten zijn alles wat de boer opgeeft samen: maïs (€3.500) + zonnebloemen (€3.000) = €6.500.";;cause;"Boer heeft 10 ha en drie alternatieven: tarwe, maïs, zonnebloemen";reasoning;"Opbrengsten: tarwe €5.000, maïs €3.500, zonnebloemen €3.000";reasoning;"Boer kiest tarwe (€5.000), niet-gekozen alternatieven zijn maïs en zonnebloemen";effect;"Beste niet-gekozen alternatief is maïs met €3.500";effect;"Alternatieve kosten = €3.500, niet de som van maïs en zonnebloemen";;
6;B;"Alternatieven opsommen → Opbrengst per alternatief berekenen → Beste niet-gekozen = alternatieve kosten";"Sanne heeft zaterdagmiddag 4 uur. Ze kan bijles Engels geven (€10 per uur), oppassen (€8 per uur) of folders bezorgen (€6 per uur). Ze kiest voor oppassen. Wat zijn haar alternatieve kosten?";"Som de alternatieven op";"Sanne heeft drie alternatieven voor haar 4 uur tijd: bijles geven, oppassen of folders bezorgen.";;"Bereken de opbrengst per alternatief";"Bijles: 4 × €10 = €40. Oppassen: 4 × €8 = €32. Folders: 4 × €6 = €24.";;"Bepaal de alternatieve kosten";"Sanne kiest oppassen (€32). Niet-gekozen: bijles (€40) en folders (€24). Alternatieve kosten = beste niet-gekozen = €40 (bijles). Ze heeft een slechte economische keuze gemaakt want €40 > €32.";;"Tel bijles en folders op";"€40 + €24 = €64 aan totale niet-gekozen opbrengst.";;"Bereken het verschil tussen bijles en oppassen";"€40 − €32 = €8, dus bijles levert €8 meer op dan oppassen.";;"Bereken de totale week-opbrengst";"Als Sanne elke zaterdag oppast, verdient ze 52 × €32 = €1.664 per jaar.";;"Welke drie alternatieven heeft Sanne voor haar zaterdagmiddag?";"Wat is de totale opbrengst per alternatief over 4 uur?";"Wat zijn Sannes alternatieve kosten bij de keuze voor oppassen?";"Hoeveel verdient een gemiddelde scholier per maand?";"Hoeveel uur per week werkt een zestienjarige meestal?";3;"Bepaal alternatieve kosten als de slechtste optie";"Alternatieve kosten zijn wat je minimaal misloopt: folders met €24 is het slechtste alternatief, dus alternatieve kosten = €24.";;cause;"Sanne heeft 4 uur en drie verdienopties: bijles €10/u, oppassen €8/u, folders €6/u";reasoning;"Opbrengsten over 4 uur: bijles €40, oppassen €32, folders €24";reasoning;"Sanne kiest oppassen (€32), niet-gekozen zijn bijles en folders";effect;"Beste niet-gekozen is bijles met €40";effect;"Alternatieve kosten = €40, wat hoger is dan de gekozen €32 (economisch onhandig)";;
7;B;"Alternatieven opsommen → Opbrengst per alternatief berekenen → Beste niet-gekozen = alternatieve kosten";"Een gemeente heeft €500.000 over voor een eenmalige investering. Opties: fietspad aanleggen (waarde €500.000), speeltuin renoveren (waarde €420.000) of bomen planten (waarde €380.000). De gemeente kiest het fietspad. Wat zijn de alternatieve kosten?";"Som de alternatieven op";"De gemeente heeft drie alternatieven voor €500.000: fietspad, speeltuin of bomen.";;"Bereken de opbrengst per alternatief";"Fietspad levert €500.000 aan maatschappelijke waarde op, speeltuin €420.000 en bomen €380.000.";;"Bepaal de alternatieve kosten";"De gemeente kiest het fietspad. Niet-gekozen alternatieven: speeltuin (€420.000) en bomen (€380.000). Alternatieve kosten = beste niet-gekozen = €420.000 (speeltuin).";;"Bereken het saldo op de begroting";"€500.000 − €500.000 = €0, dus de begroting is op na de investering.";;"Bepaal welk alternatief het goedkoopst is";"Bomen (€380.000) is de laagste waarde, dus de goedkoopste optie.";;"Tel alle drie de waardes op";"€500.000 + €420.000 + €380.000 = €1.300.000 aan totale potentiële waarde.";;"Welke drie alternatieven heeft de gemeente voor €500.000?";"Wat is de waarde van elk alternatief?";"Wat zijn de alternatieve kosten van de keuze voor het fietspad?";"Hoeveel kilometer fietspad wordt hiermee aangelegd?";"Hoeveel speeltuinen zijn er in Nederland?";3;"Bepaal alternatieve kosten als het hele niet-gebruikte budget";"De gemeente gaf €500.000 uit aan het fietspad, dus de alternatieve kosten zijn €500.000 (het hele gebruikte bedrag).";;cause;"Gemeente heeft €500.000 en drie investeringsopties";reasoning;"Waardes: fietspad €500.000, speeltuin €420.000, bomen €380.000";reasoning;"Gemeente kiest fietspad, geeft speeltuin en bomen op";effect;"Beste niet-gekozen alternatief is de speeltuin met €420.000";effect;"Alternatieve kosten = €420.000, niet het hele budget van €500.000";;
8;B;"Alternatieven opsommen → Opbrengst per alternatief berekenen → Beste niet-gekozen = alternatieve kosten";"Rafaël heeft €100 spaargeld. Hij kan een nieuwe voetbalschoen kopen (plezier €100), een gameabonnement van 3 maanden (plezier €90) of een concertkaartje (plezier €75). Hij kiest de voetbalschoen. Wat zijn zijn alternatieve kosten?";"Som de alternatieven op";"Rafaël heeft drie alternatieven voor zijn €100: voetbalschoen, gameabonnement of concertkaartje.";;"Bereken de opbrengst per alternatief";"Voetbalschoen geeft €100 aan plezier, gameabonnement €90 en concertkaartje €75.";;"Bepaal de alternatieve kosten";"Rafaël kiest de voetbalschoen (€100). Niet-gekozen: gameabonnement (€90) en concertkaartje (€75). Alternatieve kosten = beste niet-gekozen = €90 (gameabonnement).";;"Bereken het verschil tussen hoog en laag";"€100 − €75 = €25 verschil tussen beste en slechtste alternatief.";;"Tel de waardes van niet-gekozen alternatieven op";"€90 + €75 = €165 aan niet-gekozen waarde.";;"Bereken de gemiddelde waarde";"(€100 + €90 + €75) / 3 = €88,33 gemiddelde waarde per alternatief.";;"Welke drie alternatieven heeft Rafaël voor zijn €100?";"Wat is de waarde van elk alternatief voor Rafaël?";"Wat zijn de alternatieve kosten van de keuze voor de voetbalschoen?";"Hoeveel zakgeld krijgt een gemiddelde scholier?";"Wat is de gemiddelde prijs van voetbalschoenen?";2;"Bereken de opbrengst alleen voor de gekozen optie";"Omdat Rafaël alleen de voetbalschoen koopt, is enkel zijn €100 relevant — de andere opbrengsten hoeven we niet te berekenen.";;cause;"Rafaël heeft €100 en drie uitgeefopties met waardes €100, €90, €75";reasoning;"Opbrengsten per alternatief: voetbalschoen €100, game €90, concert €75";reasoning;"Rafaël kiest voetbalschoen, niet-gekozen zijn game en concert";effect;"Beste niet-gekozen alternatief is gameabonnement met €90";effect;"Alternatieve kosten = €90, niet de som van €90 en €75";;
9;C;"Misconceptie herkennen → Canonical term toepassen → Correcte redenering afronden";"Een klasgenoot zegt: 'De alternatieve kosten van Lisa's bioscoopbezoek zijn €12, want dat is wat ze heeft betaald.' Lisa had €20 en koos tussen bioscoop (€12) en boek (€15). Klopt dit? Corrigeer de redenering.";"Herken de misconceptie";"De klasgenoot verwart de alternatieve kosten met de prijs die Lisa betaalt. €12 is de prijs van het bioscoopkaartje, niet wat ze opgeeft door te kiezen.";;"Pas de canonical term toe";"Alternatieve kosten zijn de opbrengst van het beste niet-gekozen alternatief — niet de betaalde prijs. De canonical definitie gaat over wat je misloopt, niet over wat je uitgeeft.";;"Rond de correcte redenering af";"Lisa geeft het boek op (waarde €15). Haar alternatieve kosten zijn dus het leesplezier van het boek van €15, niet de €12 die ze aan de kassa afrekent.";;"Corrigeer naar €20";"De alternatieve kosten zijn Lisa's hele budget van €20, want dat is wat ze beschikbaar heeft.";;"Corrigeer naar €27";"Alternatieve kosten zijn alles wat Lisa wilde kopen samen: €12 + €15 = €27.";;"Corrigeer naar €3";"Alternatieve kosten zijn €15 − €12 = €3, het prijsverschil tussen boek en bioscoop.";;"Waarom klopt de uitspraak van de klasgenoot niet?";"Wat is de juiste definitie van alternatieve kosten?";"Wat zijn Lisa's alternatieve kosten met de correcte redenering?";"Hoe vaak gaat een gemiddelde scholier naar de bioscoop?";"Wat is het verschil tussen een hardcover en paperback boek?";2;"Pas een verwante term toe: opportuniteitskosten";"Het juiste begrip is opportuniteitskosten, een Nederlands-Latijnse term voor wat je betaalt aan een keuze.";;cause;"Klasgenoot zegt: alternatieve kosten = €12 (de prijs)";reasoning;"Dit is een misconceptie: alternatieve kosten ≠ prijs";reasoning;"Canonical term: alternatieve kosten = opbrengst van beste niet-gekozen alternatief";effect;"Lisa geeft het boek (waarde €15) op";effect;"Alternatieve kosten van Lisa's keuze = €15 aan leesplezier, niet €12";;
10;C;"Misconceptie herkennen → Canonical term toepassen → Correcte redenering afronden";"Een leerling zegt: 'Water is niet schaars, want er komt overal genoeg uit de kraan.' Klopt deze redenering? Corrigeer met de juiste economische begrippen.";"Herken de misconceptie";"De leerling verwart schaarste met 'weinig zijn' of zeldzaamheid. Schaarste gaat niet over hoeveelheid, maar over de verhouding tussen behoeften en beschikbare middelen.";;"Pas de canonical term toe";"Schaarste is: behoeften zijn groter dan de beschikbare middelen. Of iets 'veel' of 'weinig' is, hangt af van de vraag ernaar. Water uit de kraan kan schaars zijn in een droog land of tijdens een hittegolf.";;"Rond de correcte redenering af";"Zelfs een overvloedig lijkend middel zoals water kan schaars zijn als de behoefte eraan groter is dan het aanbod — denk aan drinkwater in een droogteperiode of irrigatiewater voor boeren in een hete zomer.";;"Bevestig: water is inderdaad niet schaars";"Omdat Nederland veel regen heeft, is water hier nooit schaars en klopt de redenering van de leerling.";;"Corrigeer naar: water is zeldzaam";"Water is wel degelijk zeldzaam omdat zoet water maar 3% van al het water op aarde uitmaakt.";;"Corrigeer naar: water is een tekort";"De juiste economische term hiervoor is 'tekort', want er is te weinig water voor iedereen.";;"Wat is er mis met de redenering van de leerling?";"Wat is de juiste definitie van schaarste?";"Wanneer is water wél schaars volgens de canonical definitie?";"Hoeveel liter water drinkt een mens per dag?";"Wat kost een kubieke meter kraanwater?";1;"Herken dit als een definitiekwestie over zeldzaamheid";"De leerling gebruikt 'schaars' in de betekenis 'zeldzaam', wat taalkundig correct maar economisch irrelevant is — geen misconceptie.";;cause;"Leerling zegt: water is niet schaars want er is genoeg";reasoning;"Dit is een misconceptie: schaarste ≠ weinig zijn of zeldzaamheid";reasoning;"Canonical term: schaarste = behoeften > beschikbare middelen";reasoning;"Water kán schaars zijn als behoefte groter is dan aanbod (droogte, irrigatie)";effect;"Of een goed schaars is hangt af van de verhouding behoeften/middelen";effect;"Niet van de absolute hoeveelheid van het goed";
