from_revision,old_id,old_title,to_revision,new_id,new_title,disposition,target_action,note
book34-chat-v2-20260914,3.1.1,Belastingen: wig en nieuw evenwicht,book34-lesson-balance-v3-20260915,3.1.1,Belastingen: wig en nieuw evenwicht,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,3.1.2,Belastingdruk en welvaartsverlies,book34-lesson-balance-v3-20260915,3.1.2,Belastingdruk en welvaartsverlies,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,3.1.3,Subsidies,book34-lesson-balance-v3-20260915,3.1.3,Subsidies,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,3.1.4,Maximumprijs,book34-lesson-balance-v3-20260915,3.1.4,Maximumprijs,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,3.1.5,Minimumprijs en quota,book34-lesson-balance-v3-20260915,3.1.5,Minimumprijs en quota,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,3.1.6,Gemengde opgaven: overheidsingrijpen,book34-lesson-balance-v3-20260915,3.1.6,Gemengde opgaven: overheidsingrijpen,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain the delivered teaching and target by default; update only affected references and any separately justified repair.
book34-chat-v2-20260914,3.2.1,Volkomen concurrentie: kenmerken,book34-lesson-balance-v3-20260915,3.2.1,Volkomen concurrentie: kenmerken,retain,Retain actual printed target by default; complete pending review against exact sources.,Retain price taking and the market-to-firm bridge. Free entry may remain a market characteristic; do not assess the entry/exit adjustment or the zero-economic-profit endpoint in Book 3.
book34-chat-v2-20260914,3.2.2,Winstmaximalisatie bij volkomen concurrentie,book34-lesson-balance-v3-20260915,3.2.2,Marginale kosten en de afgeleide,split,Review changed target/dependencies; no approval inherited merely from numeric ID.,Split the actual manuscript around its mathematical learning destination. Reuse its derivative and interval/point explanations and suitable existing practice; do not duplicate the whole former exercise set.
book34-chat-v2-20260914,3.2.2,Winstmaximalisatie bij volkomen concurrentie,book34-lesson-balance-v3-20260915,3.2.3,Winstmaximalisatie bij volkomen concurrentie,split,Review changed target/dependencies; no approval inherited merely from numeric ID.,"Retain the economic decision chain from old §3.2.2 and treat its derivative component as retrieval from the immediately preceding lesson. This is not the former §3.2.3 long-run paragraph, despite reusing that numeric ID."
book34-chat-v2-20260914,3.2.3,Langetermijnevenwicht,book34-lesson-balance-v3-20260915,4.1.1,"Toetreding, uittreding en langetermijnevenwicht",move_across_book,Review changed target/dependencies; no approval inherited merely from numeric ID.,"Relocate and lightly reconnect the existing paragraph, including its normal-remuneration explanation and target. Do not rewrite its valid model merely because its book and number changed."
book34-chat-v2-20260914,3.2.4,Gemengde opgaven: volkomen concurrentie,book34-lesson-balance-v3-20260915,3.2.4,Gemengde opgaven: de prijsnemende onderneming,retain;revise_scope,Review changed target/dependencies; no approval inherited merely from numeric ID.,"Substantive assessment-boundary repair is required: current exercises 35, 36e–f, 37 and the third source use long-run theory. Reuse valid short-run components; map relocated long-run evidence to Book 4 rather than deleting its Year 1 goal."
