id;structure_type;structure_label;problem_text;step_1_label;step_1_detail;step_1_formula;step_2_label;step_2_detail;step_2_formula;step_3_label;step_3_detail;step_3_formula;distractor_1_label;distractor_1_detail;distractor_1_formula;distractor_2_label;distractor_2_detail;distractor_2_formula;distractor_3_label;distractor_3_detail;distractor_3_formula;subq_1;subq_2;subq_3;subq_distractor_1;subq_distractor_2;error_step_index;error_wrong_label;error_wrong_detail;error_wrong_formula;flow_1_type;flow_1_text;flow_2_type;flow_2_text;flow_3_type;flow_3_text;flow_4_type;flow_4_text;flow_5_type;flow_5_text;flow_6_type;flow_6_text
1;A;"Gegevens verzamelen → Budgetvergelijking opstellen → Budgetlijn tekenen";"Lisa heeft een inkomen van 120 euro. Ze kan kiezen tussen boeken (10 euro per stuk) en concertkaartjes (20 euro per stuk). Stel de budgetvergelijking op en bepaal de snijpunten met de assen.";Verzamel de gegevens;"Het inkomen (B) is 120 euro, de prijs van boeken (p1) is 10 euro en de prijs van concertkaartjes (p2) is 20 euro.";;Stel de budgetvergelijking op;"De budgetvergelijking is: B = p1 * q1 + p2 * q2, dus 120 = 10q1 + 20q2.";"120 = 10q1 + 20q2";Bepaal de snijpunten met de assen;"Snijpunt horizontale as (q2 = 0): q1 = 120/10 = 12 boeken. Snijpunt verticale as (q1 = 0): q2 = 120/20 = 6 concertkaartjes.";"q1 = 12, q2 = 6";Bereken de totale uitgaven;"Vermenigvuldig de aantallen van beide goederen met hun prijs en tel op.";;Bepaal de nutsfunctie;"Stel een nutsfunctie op om de optimale combinatie te vinden.";;Bereken de consumentenprijsindex;"Weeg de prijzen met hun aandeel in het budget.";;Wat zijn het inkomen en de prijzen van de twee goederen?;Hoe luidt de budgetvergelijking met deze gegevens?;Hoeveel van elk goed kun je maximaal kopen?;Hoeveel nut levert elke combinatie op?;Wat is de inflatie op deze goederen?;3;"Bereken de snijpunten verkeerd";"Snijpunt horizontale as: q1 = 120/20 = 6. Snijpunt verticale as: q2 = 120/10 = 12. De prijzen zijn omgewisseld.";"q1 = 6, q2 = 12";cause;"Lisa heeft 120 euro inkomen, boeken kosten 10 euro, concertkaartjes 20 euro";reasoning;"Budgetvergelijking: 120 = 10q1 + 20q2";reasoning;"Snijpunten: deel het inkomen door de prijs van elk goed";effect;"Maximaal 12 boeken of 6 concertkaartjes";effect;"De budgetlijn loopt van (12, 0) naar (0, 6)";;
2;A;"Gegevens verzamelen → Budgetvergelijking opstellen → Budgetlijn tekenen";"Tom heeft 80 euro zakgeld. Hij besteedt dit aan bioscoopkaartjes (8 euro per stuk) en pizza's (4 euro per stuk). Stel de budgetvergelijking op.";Verzamel de gegevens;"Het inkomen (B) is 80 euro, de prijs van bioscoopkaartjes (p1) is 8 euro en de prijs van pizza's (p2) is 4 euro.";;Stel de budgetvergelijking op;"De budgetvergelijking is: 80 = 8q1 + 4q2.";"80 = 8q1 + 4q2";Bepaal de snijpunten met de assen;"Snijpunt horizontale as (q2 = 0): q1 = 80/8 = 10 bioscoopkaartjes. Snijpunt verticale as (q1 = 0): q2 = 80/4 = 20 pizza's.";"q1 = 10, q2 = 20";Bereken de gemiddelde prijs;"Neem het gemiddelde van 8 en 4 euro om de gemiddelde besteding per goed te bepalen.";;Bepaal het optimale punt op de budgetlijn;"Zoek het punt waar het nut maximaal is.";;Bereken de prijsverhouding in procenten;"Druk de verhouding tussen de twee prijzen uit als percentage.";;Wat zijn de gegeven bedragen en prijzen?;Hoe ziet de budgetvergelijking eruit?;Waar snijdt de budgetlijn de assen?;Welk punt op de budgetlijn geeft het meeste nut?;Hoe vaak gaat Tom per maand naar de bioscoop?;2;"Stel de vergelijking verkeerd op";"De budgetvergelijking is: 80 = 8q1 * 4q2. De prijzen moeten vermenigvuldigd worden.";"80 = 8q1 * 4q2";cause;"Tom heeft 80 euro, bioscoopkaartjes kosten 8 euro, pizza's 4 euro";reasoning;"Budgetvergelijking: 80 = 8q1 + 4q2";reasoning;"Deel inkomen door elke prijs voor de snijpunten";effect;"Maximaal 10 bioscoopkaartjes of 20 pizza's";effect;"De budgetlijn loopt van (10, 0) naar (0, 20)";;
3;A;"Gegevens verzamelen → Budgetvergelijking opstellen → Budgetlijn tekenen";"Sophie krijgt 150 euro per maand. Ze geeft dit uit aan sportlessen (15 euro per les) en kleding (30 euro per stuk). Stel de budgetvergelijking op en teken de budgetlijn.";Verzamel de gegevens;"Het inkomen (B) is 150 euro, de prijs van sportlessen (p1) is 15 euro en de prijs van kleding (p2) is 30 euro.";;Stel de budgetvergelijking op;"De budgetvergelijking is: 150 = 15q1 + 30q2.";"150 = 15q1 + 30q2";Bepaal de snijpunten met de assen;"Snijpunt horizontale as (q2 = 0): q1 = 150/15 = 10 sportlessen. Snijpunt verticale as (q1 = 0): q2 = 150/30 = 5 kledingstukken.";"q1 = 10, q2 = 5";Bereken het totale budget nodig voor beide;"Tel de prijzen van een sportles en een kledingstuk op: 15 + 30 = 45 euro.";;Bepaal de helling van de budgetlijn in euro's;"Deel de duurste prijs door de goedkoopste: 30/15 = 2.";;Bereken het aantal combinaties;"Vermenigvuldig de snijpunten: 10 x 5 = 50 mogelijke combinaties.";;Wat is het inkomen en wat kosten de twee goederen?;Welke budgetvergelijking hoort bij deze situatie?;Hoeveel van elk goed kun je maximaal aanschaffen?;Hoeveel combinaties van sportlessen en kleding zijn er precies?;Wat is het gemiddelde bedrag dat Sophie per goed uitgeeft?;1;"Verzamel de gegevens verkeerd";"Het inkomen is 150 euro, sportlessen kosten 30 euro en kleding 15 euro. De prijzen zijn per ongeluk omgewisseld.";;cause;"Sophie heeft 150 euro, sportlessen kosten 15 euro, kleding 30 euro";reasoning;"Budgetvergelijking: 150 = 15q1 + 30q2";reasoning;"Snijpunten: 150/15 = 10 en 150/30 = 5";effect;"Maximaal 10 sportlessen of 5 kledingstukken";effect;"De budgetlijn verbindt (10, 0) met (0, 5)";;
4;B;"Snijpunten berekenen → Ruilvoet bepalen → Budgetlijn interpreteren";"Jan heeft een budget van 200 euro. Computergames kosten 25 euro, streamingabonnementen kosten 10 euro per maand. Bereken de snijpunten en de ruilvoet.";Bereken de snijpunten;"Horizontale as (q2 = 0): q1 = 200/25 = 8 computergames. Verticale as (q1 = 0): q2 = 200/10 = 20 abonnementen.";"q1 = 8, q2 = 20";Bepaal de ruilvoet;"De ruilvoet (helling) = p1/p2 = 25/10 = 2,5. Voor elk computergame dat Jan opgeeft, krijgt hij 2,5 abonnementen terug.";"ruilvoet = 2,5";Interpreteer de budgetlijn;"De budgetlijn is recht omdat de prijzen constant zijn. Elk punt op de lijn geeft een combinatie die precies 200 euro kost. Punten binnen de lijn zijn betaalbaar, punten erbuiten niet.";;Bereken de totale kosten van de snijpunten;"8 x 25 = 200 en 20 x 10 = 200, dus de totale kosten zijn 400 euro.";;Bepaal het gemiddelde snijpunt;"(8 + 20) / 2 = 14, het gemiddelde van de twee snijpunten.";;Bereken het verschil tussen de prijzen;"25 - 10 = 15 euro verschil tussen de twee goederen.";;Hoeveel van elk goed kun je maximaal kopen met 200 euro?;Hoeveel abonnementen moet Jan opgeven voor een extra computergame?;Wat betekenen punten op, binnen en buiten de budgetlijn?;Hoeveel kosten de snijpunten samen?;Wat is het prijsverschil tussen de twee goederen?;2;"Bereken de ruilvoet verkeerd";"De ruilvoet = p2/p1 = 10/25 = 0,4. Voor elk computergame krijgt Jan 0,4 abonnementen.";"ruilvoet = 0,4";cause;"Budget is 200 euro, games kosten 25 euro, abonnementen 10 euro";reasoning;"Snijpunten: 200/25 = 8 games en 200/10 = 20 abonnementen";reasoning;"Ruilvoet = p1/p2 = 25/10 = 2,5";effect;"1 game opgeven levert 2,5 abonnementen op";effect;"De budgetlijn loopt van (8, 0) naar (0, 20) met helling -2,5";;
5;B;"Snijpunten berekenen → Ruilvoet bepalen → Budgetlijn interpreteren";"Maria heeft 60 euro. Broodjes kosten 3 euro en smoothies 6 euro. Bereken de snijpunten en de ruilvoet tussen broodjes en smoothies.";Bereken de snijpunten;"Horizontale as (q2 = 0): q1 = 60/3 = 20 broodjes. Verticale as (q1 = 0): q2 = 60/6 = 10 smoothies.";"q1 = 20, q2 = 10";Bepaal de ruilvoet;"De ruilvoet = p1/p2 = 3/6 = 0,5. Voor elk broodje dat Maria opgeeft, krijgt ze 0,5 smoothie terug. Of: 2 broodjes opgeven levert 1 smoothie op.";"ruilvoet = 0,5";Interpreteer de budgetlijn;"De helling van de budgetlijn is -0,5. Dit betekent dat smoothies twee keer zo duur zijn als broodjes. Hoe steiler de lijn, hoe groter het prijsverschil.";;Bereken het gemiddelde van de snijpunten;"(20 + 10) / 2 = 15, dit is het midden van de budgetlijn.";;Bepaal de totale hoeveelheid goederen;"20 + 10 = 30, het totaal aantal goederen dat maximaal gekocht kan worden.";;Bereken het procentuele prijsverschil;"(6 - 3) / 3 x 100% = 100% prijsverschil.";;Hoeveel broodjes en smoothies kun je maximaal apart kopen?;Hoeveel broodjes kost een smoothie in termen van ruilvoet?;Wat vertelt de steilheid van de budgetlijn over de prijsverhouding?;Hoeveel goederen kun je in totaal maximaal kopen?;Wat is het procentuele prijsverschil?;1;"Bereken de snijpunten verkeerd";"Horizontale as: q1 = 60/6 = 10. Verticale as: q2 = 60/3 = 20. De prijzen zijn omgewisseld bij de berekening.";"q1 = 10, q2 = 20";cause;"Maria heeft 60 euro, broodjes 3 euro, smoothies 6 euro";reasoning;"Snijpunten: 60/3 = 20 broodjes en 60/6 = 10 smoothies";reasoning;"Ruilvoet = 3/6 = 0,5 (2 broodjes = 1 smoothie)";effect;"De budgetlijn heeft helling -0,5";effect;"Smoothies zijn relatief duurder: je moet 2 broodjes opgeven voor 1 smoothie";;
6;B;"Snijpunten berekenen → Ruilvoet bepalen → Budgetlijn interpreteren";"Ahmed heeft 240 euro te besteden aan sneakers (60 euro) en t-shirts (20 euro). Bereken de snijpunten en de ruilvoet.";Bereken de snijpunten;"Horizontale as (q2 = 0): q1 = 240/60 = 4 sneakers. Verticale as (q1 = 0): q2 = 240/20 = 12 t-shirts.";"q1 = 4, q2 = 12";Bepaal de ruilvoet;"De ruilvoet = p1/p2 = 60/20 = 3. Voor elke sneaker die Ahmed opgeeft, krijgt hij 3 t-shirts terug.";"ruilvoet = 3";Interpreteer de budgetlijn;"De steile budgetlijn (helling = -3) laat zien dat sneakers relatief duur zijn. Eén sneaker opgeven levert drie t-shirts op. De opofferingskosten van een sneaker zijn 3 t-shirts.";;Bereken het totale budget als alles wordt uitgegeven;"4 x 60 + 0 x 20 = 240, of 0 x 60 + 12 x 20 = 240. Beide kloppen.";;Bepaal het midden van de budgetlijn;"q1 = 2 sneakers en q2 = 6 t-shirts. Controle: 2 x 60 + 6 x 20 = 120 + 120 = 240.";;Bereken het gemiddelde van de prijzen;"(60 + 20) / 2 = 40 euro gemiddelde prijs per goed.";;Waar snijdt de budgetlijn de assen?;Hoeveel t-shirts zijn de opofferingskosten van een sneaker?;Wat zegt de steile helling over de relatieve prijzen?;Klopt het dat het midden van de lijn op (2, 6) ligt?;Wat is de gemiddelde prijs van de twee goederen?;3;"Interpreteer de helling verkeerd";"De helling is -3, wat betekent dat t-shirts 3 keer zo duur zijn als sneakers. Sneakers zijn het goedkope goed.";;cause;"Ahmed heeft 240 euro, sneakers 60 euro, t-shirts 20 euro";reasoning;"Snijpunten: 240/60 = 4 sneakers en 240/20 = 12 t-shirts";reasoning;"Ruilvoet = 60/20 = 3 t-shirts per sneaker";effect;"De budgetlijn is steil: sneakers zijn relatief duur";effect;"De opofferingskosten van 1 sneaker zijn 3 t-shirts";;
7;C;"Inkomensverandering vaststellen → Effect op budgetlijn bepalen → Nieuwe snijpunten berekenen";"Eva had een maandinkomen van 100 euro voor fruit (5 euro) en tijdschriften (10 euro). Haar inkomen stijgt naar 150 euro. Wat gebeurt er met de budgetlijn?";Stel de inkomensverandering vast;"Het inkomen stijgt van 100 naar 150 euro. Dit is een stijging van 50%. De prijzen blijven gelijk (5 euro en 10 euro).";;Bepaal het effect op de budgetlijn;"Bij een inkomensstijging verschuift de budgetlijn evenwijdig naar rechts/boven. De helling (p1/p2 = 5/10 = 0,5) verandert niet, want de prijzen zijn gelijk gebleven.";;Bereken de nieuwe snijpunten;"Oud: q1 = 100/5 = 20, q2 = 100/10 = 10. Nieuw: q1 = 150/5 = 30, q2 = 150/10 = 15. Beide snijpunten zijn met 50% gestegen.";"q1: 20→30, q2: 10→15";Bereken de procentuele verandering per goed;"Fruit: (30-20)/20 x 100% = 50%. Tijdschriften: (15-10)/10 x 100% = 50%.";;Bepaal de nieuwe ruilvoet;"De ruilvoet verandert: 150/100 = 1,5 keer zoveel van elk goed.";;Bereken het extra inkomen nodig voor 1 extra tijdschrift;"1 extra tijdschrift kost 10 euro, dus het inkomen moet met 10 euro stijgen.";;Hoeveel stijgt het inkomen en veranderen de prijzen?;Verschuift de budgetlijn evenwijdig of kantelt ze?;Hoeveel meer van elk goed kan Eva nu maximaal kopen?;Met hoeveel procent stijgen de snijpunten?;Hoeveel extra inkomen is nodig voor precies 1 extra tijdschrift?;2;"Bepaal het effect verkeerd";"Bij een inkomensstijging kantelt de budgetlijn rond het snijpunt op de horizontale as, want je kunt meer van het ene goed kopen.";;cause;"Eva's inkomen stijgt van 100 naar 150 euro, prijzen blijven gelijk";reasoning;"De prijsverhouding verandert niet, dus de helling blijft gelijk";reasoning;"De budgetlijn verschuift evenwijdig naar buiten";effect;"Nieuwe snijpunten: q1 = 30 fruit, q2 = 15 tijdschriften";effect;"Eva kan van beide goederen 50% meer kopen";;
8;C;"Inkomensverandering vaststellen → Effect op budgetlijn bepalen → Nieuwe snijpunten berekenen";"Bas had 180 euro voor boeken (15 euro) en films (9 euro). Door een bijbaan stijgt zijn budget naar 270 euro. Beschrijf de verschuiving van de budgetlijn.";Stel de inkomensverandering vast;"Het inkomen stijgt van 180 naar 270 euro, een stijging van 50%. De prijzen van boeken (15 euro) en films (9 euro) veranderen niet.";;Bepaal het effect op de budgetlijn;"De budgetlijn verschuift evenwijdig naar buiten. De helling (p1/p2 = 15/9 = 5/3) blijft gelijk omdat de prijzen niet veranderen.";;Bereken de nieuwe snijpunten;"Oud: q1 = 180/15 = 12 boeken, q2 = 180/9 = 20 films. Nieuw: q1 = 270/15 = 18 boeken, q2 = 270/9 = 30 films.";"q1: 12→18, q2: 20→30";Bereken het absolute verschil per snijpunt;"Boeken: 18 - 12 = 6 extra. Films: 30 - 20 = 10 extra.";;Bepaal hoeveel extra combinaties mogelijk zijn;"Het oppervlak onder de budgetlijn is groter, dus er zijn meer combinaties.";;Bereken het nieuwe inkomen als percentage van het oude;"270/180 x 100% = 150%, een toename van 50%.";;Met hoeveel procent stijgt het budget en veranderen de prijzen?;Verandert de helling van de budgetlijn?;Wat zijn de oude en nieuwe snijpunten?;Hoeveel extra boeken en films kan Bas apart kopen?;Wat is het nieuwe budget als percentage van het oude?;1;"Stel de verandering verkeerd vast";"Het inkomen stijgt van 180 naar 270 euro, een stijging van 90 euro oftewel 90%. De snijpunten verdubbelen bijna.";;cause;"Bas' budget stijgt van 180 naar 270 euro, prijzen onveranderd";reasoning;"Prijsverhouding verandert niet, helling blijft 15/9 = 5/3";reasoning;"De budgetlijn verschuift evenwijdig naar buiten";effect;"Nieuwe snijpunten: 18 boeken en 30 films";effect;"Bas kan van beide goederen 50% meer aanschaffen";;
9;C;"Inkomensverandering vaststellen → Effect op budgetlijn bepalen → Nieuwe snijpunten berekenen";"Nina had 200 euro voor eten (10 euro per maaltijd) en vervoer (5 euro per rit). Door een bezuiniging daalt haar budget naar 150 euro. Wat gebeurt er met de budgetlijn?";Stel de inkomensverandering vast;"Het inkomen daalt van 200 naar 150 euro, een daling van 25%. De prijzen blijven gelijk (10 euro en 5 euro).";;Bepaal het effect op de budgetlijn;"De budgetlijn verschuift evenwijdig naar binnen (richting oorsprong). De helling (p1/p2 = 10/5 = 2) verandert niet.";;Bereken de nieuwe snijpunten;"Oud: q1 = 200/10 = 20 maaltijden, q2 = 200/5 = 40 ritten. Nieuw: q1 = 150/10 = 15 maaltijden, q2 = 150/5 = 30 ritten.";"q1: 20→15, q2: 40→30";Bereken het verlies per goed in stuks;"Maaltijden: 20 - 15 = 5 minder. Ritten: 40 - 30 = 10 minder.";;Bepaal de nieuwe ruilvoet;"Ruilvoet = 10/5 = 2. Deze is niet veranderd.";;Bereken het verschil in oppervlak;"Het oppervlak daalt: (20 x 40)/2 - (15 x 30)/2 = 400 - 225 = 175.";;Hoeveel daalt het inkomen en veranderen de prijzen?;In welke richting verschuift de budgetlijn?;Hoeveel minder van elk goed kan Nina maximaal kopen?;Hoeveel minder maaltijden en ritten kan Nina apart kopen?;Verandert de ruilvoet door de inkomensdaling?;3;"Bereken de nieuwe snijpunten verkeerd";"Nieuw: q1 = 150/5 = 30 maaltijden, q2 = 150/10 = 15 ritten. De prijzen zijn per ongeluk verwisseld.";"q1 = 30, q2 = 15";cause;"Nina's budget daalt van 200 naar 150 euro, prijzen onveranderd";reasoning;"Prijsverhouding blijft gelijk, helling blijft 10/5 = 2";reasoning;"De budgetlijn verschuift evenwijdig naar de oorsprong";effect;"Nieuwe snijpunten: 15 maaltijden en 30 ritten";effect;"Nina kan van beide goederen 25% minder kopen";;
10;D;"Prijsverandering vaststellen → Kanteling van budgetlijn bepalen → Nieuwe keuzeset interpreteren";"Daan heeft 160 euro voor boeken (20 euro) en muziekdownloads (8 euro). De prijs van boeken stijgt naar 40 euro. Wat gebeurt er met de budgetlijn?";Stel de prijsverandering vast;"De prijs van boeken stijgt van 20 naar 40 euro (verdubbeling). De prijs van muziekdownloads (8 euro) en het inkomen (160 euro) blijven gelijk.";;Bepaal de kanteling van de budgetlijn;"De budgetlijn kantelt naar binnen rond het snijpunt op de verticale as (muziekdownloads). Het snijpunt op de horizontale as verschuift: q1 was 160/20 = 8, wordt 160/40 = 4.";;Interpreteer de nieuwe keuzeset;"Het snijpunt op de verticale as blijft: q2 = 160/8 = 20 downloads. Het snijpunt op de horizontale as daalt van 8 naar 4 boeken. De helling wordt steiler: van -20/8 = -2,5 naar -40/8 = -5. Boeken zijn relatief duurder geworden.";"q1: 8→4, q2: 20→20, helling: -2,5→-5";Bereken de procentuele prijsstijging;"(40-20)/20 x 100% = 100% prijsstijging.";;Bepaal het inkomensverlies;"Daan verliest effectief 160 - 80 = 80 euro aan koopkracht.";;Bereken de nieuwe ruilvoet in downloads per boek;"40/8 = 5 downloads per boek.";;Hoe verandert de prijs van boeken en wat blijft gelijk?;Rond welk punt kantelt de budgetlijn en waarom?;Hoe veranderen de snijpunten en de steilheid van de lijn?;Met hoeveel procent is de prijs van boeken gestegen?;Hoeveel koopkracht verliest Daan effectief?;2;"Bepaal de kanteling verkeerd";"De budgetlijn verschuift evenwijdig naar binnen, want de prijs van boeken stijgt. Beide snijpunten worden kleiner.";;cause;"Prijs van boeken stijgt van 20 naar 40 euro, rest onveranderd";reasoning;"Alleen het snijpunt op de boeken-as verandert";reasoning;"De budgetlijn kantelt naar binnen rond het downloads-snijpunt";effect;"Snijpunt boeken daalt van 8 naar 4";effect;"De helling wordt steiler (-5 in plaats van -2,5): boeken zijn relatief duurder";;
