paragraph_id,title,target,old_ids,disposition,record_status,source,target_payload_sha256,one_lesson_status
3.1.1,Belastingen: wig en nieuw evenwicht,7,3.1.1,retain,candidate_review_ready,books/book-3/chapters/3.1/3.1.1 manuscript.md,db460460b3aff6a7e624aa914d87ddad0e01a5e88cb1b972bb7b398eef47709a,designed_not_classroom_measured
3.1.2,Belastingdruk en welvaartsverlies,16,3.1.2,retain,candidate_review_ready,books/book-3/chapters/3.1/3.1.2 manuscript.md,6a472fe2f04729f8144eb155f518135bd231c85e9e2497eda3bc9d12b37ba2c8,open_existing_timing_conflict
3.1.3,Subsidies,25,3.1.3,retain,candidate_review_ready,books/book-3/chapters/3.1/3.1.3 manuscript.md,8900295d62dacd8d49782db413829725c1d2307c654f3b73a4d613fb4b62fe3f,open_existing_timing_conflict
3.1.4,Maximumprijs,34,3.1.4,retain,candidate_review_ready,books/book-3/chapters/3.1/3.1.4 manuscript.md,3a9b652257ea6b62277ce0865ca6b54db6706154b45ebafa9755251c0b741171,designed_not_classroom_measured
3.1.5,Minimumprijs en quota,43,3.1.5,retain,candidate_review_ready,books/book-3/chapters/3.1/3.1.5 manuscript.md,127bdf1d611cb2ab6e985f597c940edfb7a62aea6e50613095fe5996c177353a,open_existing_timing_conflict
3.1.6,Gemengde opgaven: overheidsingrijpen,48,3.1.6,retain,candidate_review_ready,books/book-3/chapters/3.1/3.1.6 manuscript.md,52606f64c769b799413136344e50f64289949745483016c0a6a41ec9e24baab0,designed_not_classroom_measured
3.2.1,Volkomen concurrentie: kenmerken,7,3.2.1,retain,candidate_review_ready,books/book-3/chapters/3.2/3.2.1 manuscript.md,75f8460cf59bdbf46add8be4afb475d8ee1196aa219a6b97d6f2ed6daecef533,designed_not_classroom_measured
3.2.2,Marginale kosten en de afgeleide,17,3.2.2,split,candidate_review_ready,books/book-3/chapters/3.2/3.2.2 manuscript.md,1748b6c695cad66d83825d719f3a9a062902653370ab37af53916e855802341d,designed_not_classroom_measured
3.2.3,Winstmaximalisatie bij volkomen concurrentie,27,3.2.2,split,candidate_review_ready,books/book-3/chapters/3.2/3.2.3 manuscript.md,4f996125495f484a98510183889528c9057f4af4063a935464a2e21b2a384fb6,designed_not_classroom_measured
3.2.4,Gemengde opgaven: de prijsnemende onderneming,35,3.2.4,retain;revise_scope,candidate_review_ready,books/book-3/chapters/3.2/3.2.4 manuscript.md,75b1981cc06c32fdd9e97550d26e617dca853d7c52436a619dd89f4a182f6add,designed_not_classroom_measured
3.3.1,Waarom landen handelen: specialisatie en concurrentiepositie,7,3.3.1,retain,candidate_review_ready,books/book-3/chapters/3.3/3.3.1 manuscript.md,75d28e5613db71027531f7970aff86193843ccb0fc319e6e93d670c8e00377ab,designed_not_classroom_measured
3.3.2,"Wereldmarktprijs, import, export en welvaart",17,3.3.2,retain,candidate_review_ready,books/book-3/chapters/3.3/3.3.2 manuscript.md,f7fe93d89d43f7848b9b4dbfeedaa2914f17fa4f3efd96d817439015f2e42584,designed_not_classroom_measured
3.3.3,Protectionisme: invoerheffingen en importquota,27,3.3.3,retain,candidate_review_ready,books/book-3/chapters/3.3/3.3.3 manuscript.md,aab114605532cc25d16d6744d82597f7440c31c62a5e07f1a5e52a371e152b8b,designed_not_classroom_measured
3.3.4,Gemengde opgaven: internationale handel,35,3.3.4,retain;repair_retrieval,candidate_review_ready,books/book-3/chapters/3.3/3.3.4 manuscript.md,a76b0542358670430b8b405e9394284da69ba910aad8aba9b6df5bb857ab100a,designed_not_classroom_measured
4.1.1,"Toetreding, uittreding en langetermijnevenwicht",7,3.2.3,move_across_book,candidate_review_ready,books/book-4/chapters/4.1/4.1.1 manuscript.md,a38ec5f8dc9ecf621561f8b0ca86c7c0f58bba4727e394124a6b8c9438f0c09c,designed_not_classroom_measured
4.1.2,Monopolie: kenmerken,18,4.1.1,renumber,candidate_review_ready,books/book-4/chapters/4.1/4.1.2 manuscript.md,e3bac415c8974accb62ad54a033bbcd4e679de83eefe7ae4ae4f3b7ce88bff5e,designed_not_classroom_measured
4.1.3,Marginale opbrengst bij monopolie,28,4.1.2,renumber,candidate_review_ready,books/book-4/chapters/4.1/4.1.3 manuscript.md,4941b8086c313d78250ed9eb2b2b5544759d5dfd8c00e4faf12f207d6751a3f4,designed_not_classroom_measured
4.1.4,Winstmaximalisatie bij monopolie,38,4.1.3,renumber,candidate_review_ready,books/book-4/chapters/4.1/4.1.4 manuscript.md,af21b45a410f727ac29e384d8e86ee99f0ff4ab47be5ddfed77442efcd9ae211,designed_not_classroom_measured
